,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
0,2022,3,Buenos Aires,29985,27709,290315,297915,267044,124190,3618689,65821,4721668
1,2022,3,Capital Federal,517000,5742,34371,67829,51946,28692,1253105,105477,1547679
2,2022,3,Catamarca,71000,384000,3107,5389,5099,3737,50298,2208,70293
3,2022,3,Chaco,461000,987000,16782,18938,8048,15828,79390,3711,144146
4,2022,3,Chubut,109000,1444,45707,30940,34682,15309,17563,20024,165778
5,2022,3,Córdoba,99000,11312,153324,111615,70989,27112,650344,13873,1038668
6,2022,3,Corrientes,67000,3865,23427,23948,7776,21706,56950,7107,144846
7,2022,3,Entre Ríos,107000,5549,47210,46855,18263,32021,102195,16759,268959
8,2022,3,Formosa,97000,307000,23538,19545,6194,564000,17704,589000,68538
9,2022,3,Jujuy,58000,1879,19135,15254,36083,519000,45895,0,118823
10,2022,3,La Pampa,68000,1887,61540,9653,11592,5609,22731,3012,116092
11,2022,3,La Rioja,18000,689000,2842,3375,24219,5331,50390,0,86864
12,2022,3,Mendoza,103000,2953,44232,21977,48201,17243,150043,4771,289523
13,2022,3,Misiones,51000,3749,36628,20758,12676,19615,80330,8350,182157
14,2022,3,Neuquén,134000,991000,38485,14080,9200,6700,78713,14858,163161
15,2022,3,Río Negro,111000,1221,32936,17860,27934,13629,42596,24271,160558
16,2022,3,Salta,114000,1490,32923,71199,5662,1000,85661,6491,204541
17,2022,3,San Juan,24000,2027,30324,11247,22157,6780,19221,11619,103399
18,2022,3,San Luis,60000,307000,6563,20813,12061,67438,13,14815,122070
19,2022,3,Santa Cruz,52000,6841,12342,11313,11378,2333,4604,647000,49510
20,2022,3,Santa Fe,468000,11132,132709,198588,70897,57455,396352,20209,887810
21,2022,3,Santiago Del Estero,178000,1384,28357,58982,16087,910000,12342,792000,119032
22,2022,3,Tierra Del Fuego,22000,831000,12002,14815,20102,1752,1021,3351,53896
23,2022,3,Tucumán,39000,2047,32571,39018,25214,4348,159600,280000,263117
24,2022,2,Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,65849,4667183
25,2022,2,Capital Federal,517000,5980,36036,72434,55372,31571,1229254,105607,1536771
26,2022,2,Catamarca,71000,413000,3678,6155,7165,3393,43926,2207,67008
27,2022,2,Chaco,461000,1047,17603,20109,8391,15974,76271,3708,143564
28,2022,2,Chubut,109000,1444,45804,31217,34290,14526,15394,20021,162805
29,2022,2,Córdoba,99000,11971,160486,120485,71923,28645,619400,13426,1026435
30,2022,2,Corrientes,67000,3937,24253,24842,8000,21719,55071,7107,144997
31,2022,2,Entre Ríos,107000,5656,48637,48557,18512,32354,98769,16759,269352
32,2022,2,Formosa,97000,407000,23834,19706,6330,591000,16326,590000,67881
33,2022,2,Jujuy,58000,1829,19458,15790,37786,549000,37391,2453,115314
34,2022,2,La Pampa,68000,1887,62546,9842,11800,5247,17125,3012,111527
35,2022,2,La Rioja,18000,728000,3179,3890,23814,5481,48920,0,86030
36,2022,2,Mendoza,103000,2954,44961,22557,64138,19543,121366,3940,279562
37,2022,2,Misiones,51000,3808,37254,21712,12774,19757,75107,8350,178813
38,2022,2,Neuquén,134000,999000,38826,15066,9205,2039,76982,18717,161968
39,2022,2,Río Negro,111000,1227,33364,17938,27168,13714,41972,24270,159764
40,2022,2,Salta,114000,1530,33732,72661,6012,1156,81478,6494,203177
41,2022,2,San Juan,24000,2027,30385,11276,24649,3728,16701,11617,100407
42,2022,2,San Luis,60000,306000,6840,21217,11052,67438,13,14815,121741
43,2022,2,Santa Cruz,52000,6841,12348,11369,11885,2454,3592,644000,49185
44,2022,2,Santa Fe,468000,11757,138534,204381,74133,58114,373888,17584,878859
45,2022,2,Santiago Del Estero,178000,1401,29581,59931,14606,883000,10672,792000,118044
46,2022,2,Tierra Del Fuego,22000,831000,12052,14828,19968,1712,1006,3351,53770
47,2022,2,Tucumán,39000,2195,34461,43513,23634,4863,145541,281000,254527
48,2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,26280,4555424
49,2022,1,Capital Federal,527000,5575,39918,77390,61053,43289,1188072,1717,1417541
50,2022,1,Catamarca,71000,456000,4386,7009,8773,3761,35715,2207,62378
51,2022,1,Chaco,461000,1099,16888,21235,20898,13012,62946,7580,144119
52,2022,1,Chubut,113000,1677,61369,31856,33080,13871,14055,15607,171628
53,2022,1,Córdoba,100000,12782,165922,126009,73967,34892,577027,13104,1003803
54,2022,1,Corrientes,67000,4029,24563,25665,27077,10452,43631,7094,142578
55,2022,1,Entre Ríos,107000,5745,50075,49620,42294,21578,81757,16750,267926
56,2022,1,Formosa,97000,448000,24113,6945,6613,716000,15028,588000,54548
57,2022,1,Jujuy,58000,1761,22141,16321,37923,576000,35287,2442,116509
58,2022,1,La Pampa,301000,2223,62812,9869,12044,5250,14400,2833,109732
59,2022,1,La Rioja,18000,778000,3576,4692,23624,5645,45970,0,84303
60,2022,1,Mendoza,114000,3355,51230,26407,74178,21566,95048,3287,275185
61,2022,1,Misiones,51000,3873,35655,22261,26855,15854,58610,8349,171508
62,2022,1,Neuquén,137000,1123,39856,15623,11163,2654,71238,7885,149679
63,2022,1,Río Negro,116000,1383,35565,18859,26926,14144,37729,22652,157374
64,2022,1,Salta,114000,1725,35576,68246,6313,2214,76838,6489,197515
65,2022,1,San Juan,26000,2269,32356,11914,25144,2088,11916,2465,88178
66,2022,1,San Luis,61000,643000,8287,3837,9802,68612,13,28589,119844
67,2022,1,Santa Cruz,51000,6898,12710,11502,12277,2628,2551,485000,49102
68,2022,1,Santa Fe,468000,12435,143796,208361,84787,58018,344170,18444,870479
69,2022,1,Santiago Del Estero,178000,1401,30220,61170,13542,849000,8309,792000,116461
70,2022,1,Tierra Del Fuego,24000,894000,12849,15640,18034,1767,982,2421,52611
71,2022,1,Tucumán,39000,2212,36028,46961,21014,5211,133846,273000,245584
72,2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958,4509157
73,2021,4,Capital Federal,563000,1695,47133,81899,66135,66755,1147939,0,1412119
74,2021,4,Catamarca,71000,0,6038,7855,9804,3262,29827,2233,59090
75,2021,4,Chaco,461000,112000,18845,22678,21937,13692,58435,7585,143745
76,2021,4,Chubut,126000,1294,63698,39568,31175,5780,2904,15763,160308
77,2021,4,Córdoba,100000,2479,184548,130892,76246,41198,538700,12607,986770
78,2021,4,Corrientes,67000,645000,28830,26368,22922,10087,39911,7082,135912
79,2021,4,Entre Ríos,107000,3024,56043,49636,38295,24068,77290,16583,265046
80,2021,4,Formosa,84000,0,22908,6983,6811,1135,13775,1967,53663
81,2021,4,Jujuy,58000,175000,22446,16793,38134,564000,33421,2324,113915
82,2021,4,La Pampa,301000,493000,64840,9082,12259,4821,12184,3027,107007
83,2021,4,La Rioja,18000,1000,5018,5437,23559,5671,43424,0,83128
84,2021,4,Mendoza,156000,1463,66428,30308,75214,18621,75031,366000,267587
85,2021,4,Misiones,51000,5000,41916,23554,26721,15954,54596,8335,171132
86,2021,4,Neuquén,140000,940000,42313,13264,10515,3310,69217,7767,147466
87,2021,4,Río Negro,156000,1174,38373,19878,31255,4130,36142,22645,153753
88,2021,4,Salta,114000,20000,40673,69324,6642,3535,72622,6475,199405
89,2021,4,San Juan,44000,1442,28906,10955,23978,398000,9800,4435,79958
90,2021,4,San Luis,62000,264000,8550,4276,9107,67363,9,29218,118849
91,2021,4,Santa Cruz,52000,297000,20305,11641,13054,1770,876,491000,48486
92,2021,4,Santa Fe,467000,581000,169706,206856,85690,62349,322015,18777,866441
93,2021,4,Santiago Del Estero,178000,909000,31915,61524,12205,800000,7537,793000,115861
94,2021,4,Tierra Del Fuego,26000,385000,13505,16534,16562,1748,1017,2580,52357
95,2021,4,Tucumán,39000,97000,37321,48736,21023,5326,125857,240000,238639
96,2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609
97,2021,3,Capital Federal,295000,603000,156978,67013,39785,73502,1075229,0,1413405
98,2021,3,Catamarca,71000,0,6755,8428,10517,1659,26618,2206,56254
99,2021,3,Chaco,301000,112000,22545,20986,23852,14412,49705,7958,139871
100,2021,3,Chubut,104000,105000,89168,26281,18538,5320,1643,14907,156066
101,2021,3,Córdoba,99000,2452,204989,141285,65050,47198,476459,9256,946788
102,2021,3,Corrientes,67000,645000,29629,28478,24792,9687,35468,5053,133819
103,2021,3,Entre Ríos,107000,3024,61354,59776,39114,16283,67961,12755,260375
104,2021,3,Formosa,381000,0,22778,7142,6978,1192,12707,1617,52795
105,2021,3,Jujuy,48000,175000,23884,16417,37755,561000,29917,2401,111158
106,2021,3,La Pampa,298000,313000,65063,7395,8737,4022,10506,4152,100487
107,2021,3,La Rioja,18000,1000,5366,5979,23315,4868,42613,0,82160
108,2021,3,Mendoza,36000,31000,151871,12640,62628,7596,21087,50000,255939
109,2021,3,Misiones,51000,5000,41932,25099,26079,14792,42291,8279,158528
110,2021,3,Neuquén,112000,327000,57441,8566,6234,3631,57919,5579,139809
111,2021,3,Río Negro,125000,557000,68991,3730,14880,2282,34011,20009,144585
112,2021,3,Salta,101000,20000,41431,70104,6962,3878,67010,6327,195833
113,2021,3,San Juan,18000,333000,59873,752000,13250,338000,278,4641,79483
114,2021,3,San Luis,60000,0,11552,2405,6491,67942,22,29392,117864
115,2021,3,Santa Cruz,50000,0,30561,8365,6799,1788,678,735000,48976
116,2021,3,Santa Fe,467000,579000,193207,201250,83941,55080,290793,16267,841584
117,2021,3,Santiago Del Estero,123000,909000,32752,61838,11274,801000,6863,898000,115458
118,2021,3,Tierra Del Fuego,17000,0,23723,13397,9782,1433,976,895000,50223
119,2021,3,Tucumán,32000,97000,39446,50293,21986,5300,115154,164000,232472
120,2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351
121,2021,2,Capital Federal,294000,603000,157558,73568,43859,86655,1037752,66000,1400355
122,2021,2,Catamarca,71000,0,7219,9091,6828,4941,25388,2206,55744
123,2021,2,Chaco,301000,112000,23444,21574,24032,16068,47239,7958,140729
124,2021,2,Chubut,104000,105000,89639,22605,16604,3896,1112,5172,139237
125,2021,2,Córdoba,99000,2452,201757,136516,66950,70824,442357,9925,930880
126,2021,2,Corrientes,67000,645000,29419,27037,24524,10059,32697,5053,129501
127,2021,2,Entre Ríos,107000,3024,63518,55349,39468,18484,61605,16077,257632
128,2021,2,Formosa,381000,0,22364,7310,7460,1341,11077,1618,51551
129,2021,2,Jujuy,48000,175000,24182,16577,37908,607000,29950,2401,111848
130,2021,2,La Pampa,298000,554000,64146,7769,8128,3399,9311,4062,97667
131,2021,2,La Rioja,18000,1000,5312,5971,23298,4825,42158,19000,81602
132,2021,2,Mendoza,36000,31000,137462,10886,56117,4403,20686,50000,229671
133,2021,2,Misiones,51000,5000,41643,25907,25811,16172,38308,8279,156176
134,2021,2,Neuquén,112000,327000,57713,8631,5871,5943,54008,5645,138250
135,2021,2,Río Negro,125000,557000,69356,3663,15019,3867,31488,20009,144084
136,2021,2,Salta,101000,20000,42543,67012,7099,9654,58882,6328,191639
137,2021,2,San Juan,18000,333000,59989,784000,12550,340000,278,4641,78933
138,2021,2,San Luis,60000,0,11752,2703,5418,65946,22,36917,122818
139,2021,2,Santa Cruz,50000,0,30595,8463,6888,1575,676,735000,48982
140,2021,2,Santa Fe,467000,896000,202018,204077,80452,75195,262124,15371,840600
141,2021,2,Santiago Del Estero,123000,909000,32034,62224,10359,811000,6064,1566,114090
142,2021,2,Tierra Del Fuego,17000,0,21335,6913,4580,476000,889,1483,35693
143,2021,2,Tucumán,32000,97000,40224,51648,23732,5022,109616,2680,233051
144,2021,1,Buenos Aires,36939,31187,1108368,240520,163747,222061,2246313,10867,4060002
145,2021,1,Capital Federal,135000,244000,159662,76753,56457,83255,1003041,126000,1379673
146,2021,1,Catamarca,71000,0,7423,8455,10115,712000,22996,2196,51968
147,2021,1,Chaco,301000,112000,24357,22102,27556,14496,42462,8384,139770
148,2021,1,Chubut,106000,109000,86986,21401,15392,2844,1112,4390,132340
149,2021,1,Córdoba,93000,2386,211799,135092,74659,71984,402191,12677,910881
150,2021,1,Corrientes,67000,527000,31544,26223,26169,9001,27641,5453,126625
151,2021,1,Entre Ríos,105000,2911,67255,56060,42432,15774,54600,12826,251963
152,2021,1,Formosa,56000,0,22409,7569,7916,1215,9579,1942,50686
153,2021,1,Jujuy,49000,175000,23735,17293,40649,568000,25609,2378,110456
154,2021,1,La Pampa,298000,554000,68200,7864,7611,2786,7368,2424,97105
155,2021,1,La Rioja,18000,1000,36749,5968,4604,215000,5074,0,52628
156,2021,1,Mendoza,28000,40000,134386,11216,52533,4061,16615,44000,218923
157,2021,1,Misiones,51000,524000,40949,25503,27101,14050,32953,8256,149387
158,2021,1,Neuquén,116000,327000,56171,8443,5903,5677,50840,5758,133235
159,2021,1,Río Negro,125000,466000,70011,4187,13045,3642,29589,20103,141168
160,2021,1,Salta,109000,20000,40785,68149,9164,8138,54889,6319,187574
161,2021,1,San Juan,25000,194000,60439,858000,11494,340000,276,4641,78267
162,2021,1,San Luis,58000,0,11889,2926,4429,62913,22,36917,119154
163,2021,1,Santa Cruz,50000,0,30655,8334,6987,1337,647,0,46065
164,2021,1,Santa Fe,518000,891000,201632,204458,91846,65476,236924,24382,826127
165,2021,1,Santiago Del Estero,123000,909000,33884,58464,8549,700000,4868,4144,111641
166,2021,1,Tierra Del Fuego,17000,0,21379,1468,4317,486000,919,11836,40422
167,2021,1,Tucumán,29000,97000,42810,53416,25255,4188,103437,2680,231912
168,2020,4,Buenos Aires,36939,31197,1109865,242243,214171,213588,2176242,9016,4033261
169,2020,4,Capital Federal,135000,244000,160210,78123,60208,80269,1000073,268000,1379530
170,2020,4,Catamarca,71000,0,8843,8740,11436,591000,20406,2309,52396
171,2020,4,Chaco,301000,112000,24782,22479,26802,15701,40949,7965,139091
172,2020,4,Chubut,106000,109000,88157,21824,12046,2818,1112,4402,130574
173,2020,4,Córdoba,119000,2386,214963,135262,82221,70013,384169,13568,902701
174,2020,4,Corrientes,67000,527000,31900,26321,25687,9383,26789,4985,125659
175,2020,4,Entre Ríos,105000,2911,65659,53556,40755,16600,53141,14654,247381
176,2020,4,Formosa,56000,0,23540,7606,7181,1197,8946,1680,50206
177,2020,4,Jujuy,49000,182000,23772,14379,44930,446000,19282,2811,105851
178,2020,4,La Pampa,298000,554000,70184,8124,6562,2396,6257,2520,96895
179,2020,4,La Rioja,18000,1000,36906,6060,4633,181000,4979,0,52778
180,2020,4,Mendoza,28000,40000,146312,11172,40396,3378,11557,2570,215453
181,2020,4,Misiones,51000,524000,39988,26078,26445,14810,32264,7001,147161
182,2020,4,Neuquén,116000,327000,56434,8478,5791,5493,50776,5720,133135
183,2020,4,Río Negro,125000,466000,70305,4153,13131,3512,29372,20146,141210
184,2020,4,Salta,109000,514000,41443,68829,15188,8291,46697,6319,187390
185,2020,4,San Juan,25000,194000,61316,740000,5126,332000,275,4588,72596
186,2020,4,San Luis,58000,0,14020,3490,2688,62239,22,36918,119435
187,2020,4,Santa Cruz,47000,0,27173,4382,6634,1033,647,758000,40674
188,2020,4,Santa Fe,518000,891000,206372,203793,94246,65144,226246,23602,820813
189,2020,4,Santiago Del Estero,123000,909000,34518,57590,4666,411000,4520,3932,106669
190,2020,4,Tierra Del Fuego,17000,0,21881,6119,3497,488000,922,6690,39614
191,2020,4,Tucumán,29000,97000,44095,54334,32155,4105,93594,2680,231089
192,2020,3,Buenos Aires,37542,31514,1113823,234710,219772,194248,2085815,19853,3937277
193,2020,3,Capital Federal,264000,312000,162222,85083,68753,78028,977766,247000,1372675
194,2020,3,Catamarca,63000,0,8276,8768,11195,562000,18886,2154,49904
195,2020,3,Chaco,308000,112000,24675,21639,27546,13751,38729,7194,133954
196,2020,3,Chubut,158000,109000,87559,22114,12217,2818,1110,3942,130027
197,2020,3,Córdoba,168000,3064,218599,124833,84236,63823,361021,11728,867472
198,2020,3,Corrientes,72000,527000,35190,23315,25308,8615,25344,5020,123391
199,2020,3,Entre Ríos,130000,2911,66648,51478,40797,14377,49395,15759,241495
200,2020,3,Formosa,391000,151000,23163,7432,7125,991000,8219,1737,49209
201,2020,3,Jujuy,55000,182000,32131,10566,45198,293000,15238,3065,106728
202,2020,3,La Pampa,293000,810000,66695,7820,5577,2189,6322,4029,93735
203,2020,3,La Rioja,21000,1000,37105,5955,4660,124000,4748,2000,52616
204,2020,3,Mendoza,58000,40000,141404,12123,42433,3448,8237,45000,207788
205,2020,3,Misiones,71000,524000,39005,24215,25942,13663,30987,8779,143186
206,2020,3,Neuquén,218000,327000,60463,6561,5975,5449,49439,803000,129235
207,2020,3,Río Negro,114000,466000,68986,3769,7096,3455,28488,19093,131467
208,2020,3,Salta,129000,514000,32780,64736,15990,7928,43773,14996,180846
209,2020,3,San Juan,48000,194000,65526,711000,6529,41000,128,4150,77327
210,2020,3,San Luis,105000,0,12199,3351,2666,61319,8,36917,116565
211,2020,3,Santa Cruz,66000,0,26888,4014,6730,629000,120,833000,39281
212,2020,3,Santa Fe,568000,1241,213353,199381,92095,58797,210562,27001,802998
213,2020,3,Santiago Del Estero,133000,909000,33287,57418,4658,292000,3994,4801,105492
214,2020,3,Tierra Del Fuego,11000,0,22094,5414,3726,481000,937,6992,39655
215,2020,3,Tucumán,52000,97000,45913,54610,33126,3246,84195,2637,223876
216,2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233,3777546
217,2020,2,Capital Federal,264000,312000,166474,94585,79858,80160,935481,687000,1357821
218,2020,2,Catamarca,63000,0,8801,8690,10242,426000,16578,3176,47976
219,2020,2,Chaco,308000,928000,24350,21140,29044,12082,33311,6969,128132
220,2020,2,Chubut,158000,109000,69578,22188,10537,1473,614,3999,108656
221,2020,2,Córdoba,168000,4383,219025,125932,89530,63216,325243,8971,836468
222,2020,2,Corrientes,72000,527000,34242,22845,25844,7898,22418,5020,118866
223,2020,2,Entre Ríos,130000,3679,66758,50640,42090,12856,43391,14569,234113
224,2020,2,Formosa,391000,151000,23534,7109,6998,961000,7475,1313,47932
225,2020,2,Jujuy,55000,182000,30548,10519,26829,209000,9417,16557,94316
226,2020,2,La Pampa,293000,810000,71218,7531,3800,1657,3377,1123,89809
227,2020,2,La Rioja,21000,1000,37375,5661,4686,73000,4336,2000,52155
228,2020,2,Mendoza,58000,40000,142253,12439,35274,3248,5422,2450,201184
229,2020,2,Misiones,71000,524000,39867,23719,26445,12305,28763,8646,140340
230,2020,2,Neuquén,218000,327000,61171,6103,6625,5296,46432,0,126172
231,2020,2,Río Negro,114000,466000,70817,3335,7498,3246,26953,17057,129486
232,2020,2,Salta,129000,514000,41801,64462,16989,7741,39594,6531,177762
233,2020,2,San Juan,48000,194000,59113,917000,4908,40000,127,4430,69777
234,2020,2,San Luis,105000,0,11439,3585,1934,60889,8,35992,113952
235,2020,2,Santa Cruz,66000,0,26938,4166,6541,546000,119,493000,38869
236,2020,2,Santa Fe,568000,2061,213054,198772,96575,57236,189473,20193,777932
237,2020,2,Santiago Del Estero,133000,1779,32557,57709,5178,247000,3328,4516,105447
238,2020,2,Tierra Del Fuego,11000,0,22325,5186,3034,391000,796,7446,39189
239,2020,2,Tucumán,52000,97000,49028,54537,34184,2246,74377,2635,217156
240,2020,1,Buenos Aires,38215,36802,1122034,236421,247977,205780,1802583,28935,3718747
241,2020,1,Capital Federal,264000,312000,169651,102254,89665,85899,906009,0,1354054
242,2020,1,Catamarca,63000,0,8838,7543,9558,408000,10299,2151,38860
243,2020,1,Chaco,308000,928000,23291,19976,29851,10416,28539,6917,120226
244,2020,1,Chubut,158000,109000,69586,12957,7756,1240,614,4500,96920
245,2020,1,Córdoba,142000,5128,217229,120188,95827,65733,296875,9802,810924
246,2020,1,Corrientes,72000,527000,33479,21382,26679,7351,19467,4780,113737
247,2020,1,Entre Ríos,130000,4081,72280,47132,41125,11988,39794,13762,230292
248,2020,1,Formosa,1127,342000,23761,6500,6564,964000,6918,100000,46276
249,2020,1,Jujuy,55000,182000,33120,9979,26693,166000,7349,16545,94089
250,2020,1,La Pampa,293000,811000,72740,7199,3029,1342,2113,1618,89145
251,2020,1,La Rioja,21000,1000,37209,5158,4640,22000,1294,0,48345
252,2020,1,Mendoza,58000,40000,140410,12285,17489,2860,3818,0,176960
253,2020,1,Misiones,71000,524000,36622,21271,26433,11581,26313,10885,133700
254,2020,1,Neuquén,218000,327000,60152,5257,7123,5399,43738,0,122214
255,2020,1,Río Negro,114000,466000,69154,2930,7857,3199,25488,17719,126927
256,2020,1,Salta,129000,514000,38537,63714,17991,8625,34744,6441,170695
257,2020,1,San Juan,48000,194000,59787,1594,1292,40000,127,4779,67861
258,2020,1,San Luis,105000,0,11322,4164,525000,58258,5,36075,110454
259,2020,1,Santa Cruz,67000,11000,27447,4993,5169,529000,119,0,38335
260,2020,1,Santa Fe,696000,2994,217553,196826,104560,48448,173823,17656,762556
